severity,finding,predicted_floor,floor_lung_median,empirical_threshold,ratio,dprime_slope,linearity_r2,n_trials,veil_fraction,psf_sigma,passes
0.0,miliary_nodule,0.615639368160444,0.4489425748645803,0.2159382792550946,2.8509969158046777,23.154764487556857,0.8741756959336229,24,0.043096441958267846,1.3717084993775766,False
0.0,infiltrate,0.12501907032058734,0.07421444806975938,0.03147177748372119,3.9724184751005436,158.8725010078079,0.9983020921474793,24,0.043096441958267846,1.3717084993775766,False
0.0,cavity_wall,0.22473361935160352,0.15114213315719846,0.12200915409403652,1.8419406397850593,40.980531642292455,0.9872615630938834,24,0.043096441958267846,1.3717084993775766,True
0.0,consolidation,0.10548210083611473,0.07086583366415301,0.036745538894450265,2.8706097123546566,136.07093950539823,0.9640209674614615,24,0.043096441958267846,1.3717084993775766,False
0.25,miliary_nodule,0.22215887288090463,0.18656051809032026,0.9014439801310878,0.24644778574992351,5.546656375998984,0.9937165054878307,24,0.18207100710345425,1.3469466725858354,False
0.25,infiltrate,0.08461888879573455,0.06742874864014425,0.04305335602387169,1.9654423397055534,116.13496511695074,0.9917925102928047,24,0.18207100710345425,1.3469466725858354,True
0.25,cavity_wall,0.10857990047575797,0.08518216681956597,0.3427707491275292,0.3167711969359451,14.587008992823161,0.8228241837931833,24,0.18207100710345425,1.3469466725858354,False
0.25,consolidation,0.07676964449828129,0.06685054643564281,0.10935788082761284,0.7020037688851865,45.72144194968252,0.99754025782317,24,0.18207100710345425,1.3469466725858354,True
0.5,miliary_nodule,0.19388483777338278,0.19422749604577133,3.3135679657222705,0.058512407102873774,1.5089474704376953,0.9380722999348537,24,0.3473179448652678,1.2616519210718453,False
0.5,infiltrate,0.07752922099656002,0.08110029487562881,0.07103381379427762,1.091441059621181,70.38901240021542,0.9489341256753733,24,0.3473179448652678,1.2616519210718453,True
0.5,cavity_wall,0.09769762236020664,0.0972504104618237,0.8470560668727897,0.115337846195816,5.902796987759367,0.9565731940461769,24,0.3473179448652678,1.2616519210718453,False
0.5,consolidation,0.07287398182774367,0.08056802696687099,0.15294470200960636,0.4764727438755381,32.691554099637614,0.9772032300581616,24,0.3473179448652678,1.2616519210718453,False
0.75,miliary_nodule,0.1275208296261573,0.1445731992441344,1.5142609222152146,0.0842132473706096,3.3019408522313927,0.8308198482948929,24,0.4773938361959116,1.2405278164919094,False
0.75,infiltrate,0.06607054538409741,0.0795131246376561,0.15404304282989523,0.42890963571173407,32.45846036371366,0.95919202473516,24,0.4773938361959116,1.2405278164919094,False
0.75,cavity_wall,0.0744555938920601,0.08769307776602556,0.8797217491355921,0.08463539063939207,5.6836153078095,0.8591297313473019,24,0.4773938361959116,1.2405278164919094,False
0.75,consolidation,0.06408104294961416,0.07923754404156294,0.20628812117496437,0.3106385505119002,24.237944344644177,0.48589959995925236,24,0.4773938361959116,1.2405278164919094,False
