image,severity,certificate,coverage,worst_finding,limiting_factor,margin_db,prov_coverage,prov_tone_method,prov_psf_method,prov_glare_method,prov_px_per_mm_measured,prov_rose_k,prov_contrast_source,prov_include_anatomical,verdict_miliary_nodule,margin_db_miliary_nodule,floor_miliary_nodule,insuff_area_miliary_nodule,verdict_infiltrate,margin_db_infiltrate,floor_infiltrate,insuff_area_infiltrate,verdict_cavity_wall,margin_db_cavity_wall,floor_cavity_wall,insuff_area_cavity_wall,verdict_consolidation,margin_db_consolidation,floor_consolidation,insuff_area_consolidation,veil_fraction,psf_sigma
0,0.0,insufficient,full,miliary_nodule,sensor_noise,-21.32076535776141,full,two_point,slanted_edge,beamstop_surface,False,5.0,NOMINAL,False,insufficient,-21.32076535776141,0.34926858329246085,1.0,marginal,1.3916999749656784,0.07667565783722215,0.46880055255648256,detectable,4.207709431422191,0.13553055265211644,0.3644328116763909,detectable,13.557584804669805,0.07348332583332036,0.21771452460148683,0.04656622132747965,0.9802683290363877
0,0.25,insufficient,full,miliary_nodule,sensor_noise,-17.346529288231952,full,two_point,slanted_edge,beamstop_surface,False,5.0,NOMINAL,False,insufficient,-17.346529288231952,0.2210282163976941,1.0,detectable,9.65509152037876,0.02961337685478664,0.3136573624752514,detectable,9.829230476619367,0.07095143066391627,0.2306378353196941,detectable,22.035678694805117,0.0276875233362771,0.11031095927636943,0.09023651448054164,1.4690946203714332
0,0.5,insufficient,partial,miliary_nodule,sensor_noise,-18.45915529093707,partial,two_point,slanted_edge,beamstop_surface,False,5.0,NOMINAL,False,insufficient,-18.45915529093707,0.25123435072727063,1.0,detectable,8.481210436276621,0.03389861758239289,0.28417780957917804,detectable,9.254329543469902,0.07580645775905509,0.1802468583694826,detectable,20.563290523812924,0.03280224123304953,0.09252716783685881,0.15765446255471985,2.3389108445472715
0,0.75,abstain,none,,no_fiducials,,none,prior,slanted_edge,none,False,5.0,NOMINAL,False,,,,,,,,,,,,,,,,,0.0,2.920986482768228
0,1.0,insufficient,partial,miliary_nodule,sensor_noise,-19.42445469328961,partial,two_point,slanted_edge,beamstop_surface,False,5.0,NOMINAL,False,insufficient,-19.42445469328961,0.28076566035140355,1.0,marginal,2.729381370296408,0.06573148454444307,0.41033774213497715,detectable,6.987044033965208,0.0984170808154941,0.19751830350908692,detectable,14.589865737487603,0.06524913482234823,0.053743491531509965,0.24778340055881035,3.115795807785606
1,0.0,insufficient,full,miliary_nodule,sensor_noise,-22.06172591750505,full,two_point,slanted_edge,beamstop_surface,False,5.0,NOMINAL,False,insufficient,-22.06172591750505,0.3803711333607234,1.0,detectable,4.44436370796329,0.05395408403664752,0.40949308921846,detectable,4.449710485222653,0.13180659974884595,0.35761267186852397,detectable,17.081004475537483,0.048979891706445594,0.19193411781666156,0.03831048244405743,1.0805266769721615
1,0.25,insufficient,partial,miliary_nodule,sensor_noise,-17.150741999477603,partial,two_point,slanted_edge,beamstop_surface,False,5.0,NOMINAL,False,insufficient,-17.150741999477603,0.21610178526101761,1.0,detectable,10.657308160692462,0.026386215277813152,0.27856612329463276,detectable,10.363943809569916,0.06671530723200855,0.2076345725343028,detectable,23.01988581493339,0.024721439386138376,0.08344083499472264,0.10382878663596182,1.6914917170869577
1,0.5,insufficient,full,miliary_nodule,sensor_noise,-20.526773489428113,full,two_point,slanted_edge,beamstop_surface,False,5.0,NOMINAL,False,insufficient,-20.526773489428113,0.3187571456233613,1.0,detectable,4.511554293457986,0.05353832685405944,0.37451821290917975,detectable,6.745419587382184,0.1011932866252281,0.25532453902249247,detectable,16.48954587296703,0.052431315067443036,0.055353491486166154,0.34887351953928086,2.317806443935808
1,0.75,insufficient,partial,miliary_nodule,sensor_noise,-20.513178429433722,partial,two_point,slanted_edge,beamstop_constant,False,5.0,NOMINAL,False,insufficient,-20.513178429433722,0.3182586206505187,1.0,detectable,6.645466119015736,0.041876386885400144,0.2998234183766669,detectable,7.349152890734738,0.09439848759043673,0.20231788751547627,detectable,18.688840437133585,0.040702962752019886,0.09194422456311271,0.40570200487840946,2.787307032175829
1,1.0,insufficient,partial,miliary_nodule,blur,-16.811989973074155,partial,two_point,slanted_edge,beamstop_constant,False,5.0,NOMINAL,False,insufficient,-16.811989973074155,0.20783598945790957,1.0,detectable,3.1882405272943446,0.06234914223530536,0.35435617907246897,detectable,8.565393234566832,0.08206406374965144,0.15328388883924582,detectable,15.022021753109485,0.06208217971929896,0.08698060941828255,0.6289390064529566,3.3423050811127637
2,0.0,insufficient,full,miliary_nodule,sensor_noise,-18.334289764987275,full,two_point,slanted_edge,beamstop_surface,False,5.0,NOMINAL,False,insufficient,-18.334289764987275,0.2476485234662054,1.0,detectable,6.5381506858274445,0.0423969851638429,0.3598589220764907,detectable,7.054655382639163,0.09765397180077626,0.2790513979205702,detectable,19.291057145163,0.037976521896627646,0.13079099158675925,0.02403075033190868,0.764916060793924
2,0.25,insufficient,full,miliary_nodule,sensor_noise,-16.893517451971125,full,two_point,slanted_edge,beamstop_surface,False,5.0,NOMINAL,False,insufficient,-16.893517451971125,0.20979596314216425,1.0,detectable,6.84491147803314,0.04092577719211549,0.3459249251442343,detectable,9.782229469810984,0.07133640303870206,0.24160154823632513,detectable,18.841601700985102,0.03999336615530135,0.14076535456072445,0.13035122645062464,1.7051431442366594
