severity,finding,predicted_floor,floor_lung_median,empirical_threshold,ratio,dprime_slope,linearity_r2,n_trials,veil_fraction,psf_sigma,passes,seed,degenerate,unphysical
0.0,miliary_nodule,0.615639368160444,0.4489425748645803,0.2159382792550946,2.8509969158046777,23.154764487556857,0.8741756959336229,24,0.043096441958267846,1.3717084993775766,False,0,False,False
0.0,infiltrate,0.12501907032058734,0.07421444806975938,0.03147177748372119,3.9724184751005436,158.8725010078079,0.9983020921474793,24,0.043096441958267846,1.3717084993775766,False,0,False,False
0.0,cavity_wall,0.27191787785591326,0.18865831964853164,0.1477715933264881,1.8401227985350004,33.83600249171671,0.9854676707800014,24,0.043096441958267846,1.3717084993775766,True,0,False,False
0.0,consolidation,0.10548210083611473,0.07086583366415301,0.036745538894450265,2.8706097123546566,136.07093950539823,0.9640209674614615,24,0.043096441958267846,1.3717084993775766,False,0,False,False
0.25,miliary_nodule,0.22215887288090463,0.18656051809032026,0.9014439801310878,0.24644778574992351,5.546656375998984,0.9937165054878307,24,0.18207100710345425,1.3469466725858354,False,0,False,False
0.25,infiltrate,0.08461888879573455,0.06742874864014425,0.04305335602387169,1.9654423397055534,116.13496511695074,0.9917925102928047,24,0.18207100710345425,1.3469466725858354,True,0,False,False
0.25,cavity_wall,0.12034141653401491,0.09609135852155933,0.38921084574709264,0.3091933789846447,12.84650737417779,0.8612609856023956,24,0.18207100710345425,1.3469466725858354,False,0,False,False
0.25,consolidation,0.07676964449828129,0.06685054643564281,0.10935788082761284,0.7020037688851865,45.72144194968252,0.99754025782317,24,0.18207100710345425,1.3469466725858354,True,0,False,False
0.5,miliary_nodule,0.19388483777338278,0.19422749604577133,3.3135679657222705,0.058512407102873774,1.5089474704376953,0.9380722999348537,24,0.3473179448652678,1.2616519210718453,False,0,False,False
0.5,infiltrate,0.07752922099656002,0.08110029487562881,0.07103381379427762,1.091441059621181,70.38901240021542,0.9489341256753733,24,0.3473179448652678,1.2616519210718453,True,0,False,False
0.5,cavity_wall,0.1076477734779571,0.10722544608339835,1.4013943505721016,0.07681476197903271,3.5678750938012653,0.8831357933171886,24,0.3473179448652678,1.2616519210718453,False,0,False,False
0.5,consolidation,0.07287398182774367,0.08056802696687099,0.15294470200960636,0.4764727438755381,32.691554099637614,0.9772032300581616,24,0.3473179448652678,1.2616519210718453,False,0,False,False
0.75,miliary_nodule,0.1275208296261573,0.1445731992441344,1.5142609222152146,0.0842132473706096,3.3019408522313927,0.8308198482948929,24,0.4773938361959116,1.2405278164919094,False,0,False,False
0.75,infiltrate,0.06607054538409741,0.0795131246376561,0.15404304282989523,0.42890963571173407,32.45846036371366,0.95919202473516,24,0.4773938361959116,1.2405278164919094,False,0,False,False
0.75,cavity_wall,0.07954983225371667,0.09305038812176035,0.9484759964721444,0.08387121292431458,5.271614694096103,0.4370933859124767,24,0.4773938361959116,1.2405278164919094,False,0,False,False
0.75,consolidation,0.06408104294961416,0.07923754404156294,0.20628812117496437,0.3106385505119002,24.237944344644177,0.48589959995925236,24,0.4773938361959116,1.2405278164919094,False,0,False,False
0.0,miliary_nodule,0.5206777693160316,0.20085777567911603,0.2514816192291815,2.07044065849411,19.88216878563747,0.8910489654153454,24,0.018508680773358304,1.3168214404099132,False,1,False,False
0.0,infiltrate,0.10738487694540522,0.014933438100981484,0.02960931565666178,3.62672606792399,168.8657737982895,0.9941970587389779,24,0.018508680773358304,1.3168214404099132,False,1,False,False
0.0,cavity_wall,0.22514364308257404,0.0804512857528385,0.17892017986962433,1.2583468407344094,27.94542238691803,0.9599481413908135,24,0.018508680773358304,1.3168214404099132,True,1,False,False
0.0,consolidation,0.09064104396726404,0.010817258287763063,0.015589996389209366,5.814051633135806,320.7184835181075,0.9976218794521313,24,0.018508680773358304,1.3168214404099132,False,1,False,False
0.25,miliary_nodule,0.268539198628393,0.11621134931597395,1.086519462196637,0.24715544265123626,4.6018503800119746,0.9802510603782922,24,0.11487710208363563,1.0374291597855396,False,1,False,False
0.25,infiltrate,0.11417823248816551,0.019080214040400004,0.06993679754079733,1.6325916613719713,71.49312201610707,0.9658560154854039,24,0.11487710208363563,1.0374291597855396,True,1,False,False
0.25,cavity_wall,0.14626464621280486,0.051294848527280966,0.419727714301121,0.3484750737900326,11.912484760091159,0.9861537963273648,24,0.11487710208363563,1.0374291597855396,False,1,False,False
0.25,consolidation,0.09524483593799081,0.01773162187592251,0.04776102176347091,1.9941959451721145,104.68787759109779,0.9668721563391731,24,0.11487710208363563,1.0374291597855396,True,1,False,False
0.5,miliary_nodule,0.9272090339048369,0.11703572764968465,3.365521426019493,0.2755023416984975,1.485653890462274,0.9296541097700305,24,0.20618655573737749,0.8773707239823052,False,1,False,False
0.5,infiltrate,1.2498554812622915,0.032977415403623436,0.10016720759907582,12.477691164806146,49.916535759015524,0.5314560390927425,24,0.20618655573737749,0.8773707239823052,False,1,False,False
0.5,cavity_wall,0.7013720293497921,0.058732329256184344,1.5470459695047254,0.4533621128106044,3.231966016886176,0.960467961070704,24,0.20618655573737749,0.8773707239823052,False,1,False,False
0.5,consolidation,0.5556503575287287,0.0320539113666437,0.06164438638554887,9.013803042072105,81.11038641423052,0.9785902783699224,24,0.20618655573737749,0.8773707239823052,False,1,False,False
0.75,miliary_nodule,10.527303144185371,0.1085749861669505,inf,0.0,0.0,0.0,24,0.35110894135998133,0.922059707588753,False,1,True,True
0.75,infiltrate,8.676012855504986,0.050299841706000104,inf,0.0,0.0,0.0,24,0.35110894135998133,0.922059707588753,False,1,True,True
0.75,cavity_wall,9.069657087120374,0.06505127106712137,inf,0.0,0.0,0.0,24,0.35110894135998133,0.922059707588753,False,1,True,True
0.75,consolidation,8.462950611371147,0.049889826022345346,inf,0.0,0.0,0.0,24,0.35110894135998133,0.922059707588753,False,1,True,True
0.0,miliary_nodule,0.3393017745962952,0.24375845331618418,0.14899130709125374,2.277325981095532,33.55900486823446,0.9421707778486891,24,0.052632138976298044,1.2805921563015532,False,2,False,False
0.0,infiltrate,0.05808913324805995,0.03690213090705701,0.018646143423981684,3.1153430458627054,268.1519650636852,0.9613313194268096,24,0.052632138976298044,1.2805921563015532,False,2,False,False
0.0,cavity_wall,0.14887682366428545,0.10247835130317574,0.09542022648742295,1.5602229123183695,52.39979178480608,0.9979088219428842,24,0.052632138976298044,1.2805921563015532,True,2,False,False
